niche	sender	receiver	ligand	receptor	ligand_receptor	prioritization_score	top_niche
pEMT_poor_niche	AMs	EMT_Low	Itgb2	Icam1	Itgb2--Icam1	0.490881046541113	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Trf	Sdc1	Trf--Sdc1	0.481813999763394	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Pros1	Axl	Pros1--Axl	0.481621634352531	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Il1rn	Il1r1	Il1rn--Il1r1	0.476948145117522	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Hebp1	Fpr2	Hebp1--Fpr2	0.474101129693394	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Psap	Lrp1	Psap--Lrp1	0.471567264643461	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Nucb2	Erap1	Nucb2--Erap1	0.466305718777042	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Ccl5	Sdc1	Ccl5--Sdc1	0.46617254104867	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Trf	Igf2r	Trf--Igf2r	0.465964918559205	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Il18	Il18rap	Il18--Il18rap	0.462410972539447	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Pros1	Rpsa	Pros1--Rpsa	0.459882963460339	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Itga4	Vcam1	Itga4--Vcam1	0.45800862946652	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Ccl5	Cdh1	Ccl5--Cdh1	0.457439482125806	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Itgb2	Itgax	Itgb2--Itgax	0.453947118109644	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	App	Sdc1	App--Sdc1	0.447904902001899	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Psap	Sort1	Psap--Sort1	0.446184003336611	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	H2-T23	Plxnb2	H2-T23--Plxnb2	0.445732722875074	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	App	Fpr2	App--Fpr2	0.443598381251787	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Itgb1	Vcam1	Itgb1--Vcam1	0.441258348376653	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	H2-T23	Itga6	H2-T23--Itga6	0.436938044712727	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	L1cam	Nrp1	L1cam--Nrp1	0.429583828248315	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Gpi1	Amfr	Gpi1--Amfr	0.429398741171251	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Calr	Itga3	Calr--Itga3	0.428416785963053	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Apoe	Vcam1	Apoe--Vcam1	0.427999608799654	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Apoe	Ldlr	Apoe--Ldlr	0.422945336225496	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Fn1	Sdc1	Fn1--Sdc1	0.420211536230781	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Hsp90b1	Lrp1	Hsp90b1--Lrp1	0.420095055785804	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Hebp1	Fpr1	Hebp1--Fpr1	0.417260388803838	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Gzmb	Igf2r	Gzmb--Igf2r	0.416158094368175	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Itga4	Rpsa	Itga4--Rpsa	0.415940858580394	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Calr	Lrp1	Calr--Lrp1	0.412377581014827	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Fn1	Itga3	Fn1--Itga3	0.409853735076678	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	L1cam	Alcam	L1cam--Alcam	0.408917622658937	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Gpi1	Atp5b	Gpi1--Atp5b	0.408598272072396	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Tgfb2	Tgfbr2	Tgfb2--Tgfbr2	0.400622313032853	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Penk	Ogfr	Penk--Ogfr	0.39924198534795	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Il1b	Il1r1	Il1b--Il1r1	0.39746942526927	pEMT_poor_niche
