niche	sender	receiver	ligand	receptor	ligand_receptor	prioritization_score	top_niche
pEMT_rich_niche	AMs	EMT_High	Itgal	F11r	Itgal--F11r	0.468327162418382	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	F7	F3	F7--F3	0.46775650121082	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	F11r	F11r	F11r--F11r	0.465069333968782	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Alox5ap	Alox5	Alox5ap--Alox5	0.46403617649392	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ptprc	Cd44	Ptprc--Cd44	0.456760829967052	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ptprc	Met	Ptprc--Met	0.455782677900239	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Spp1	Itgb1	Spp1--Itgb1	0.455342214057559	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tnfsf12	Tnfrsf12a	Tnfsf12--Tnfrsf12a	0.454460543595646	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Grn	Tnfrsf1a	Grn--Tnfrsf1a	0.453553860848987	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Spp1	Cd44	Spp1--Cd44	0.452001535183752	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam15	Itgb1	Adam15--Itgb1	0.448249982659112	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Calm1	Rpsa	Calm1--Rpsa	0.446259136684861	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Itgal	Icam1	Itgal--Icam1	0.441791809967573	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Cd2	Ptprc	Cd2--Ptprc	0.441160504871843	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Gal	P2ry14	Gal--P2ry14	0.437038540085273	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Calm1	Tnfrsf1a	Calm1--Tnfrsf1a	0.434831371631616	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Gal	Fpr1	Gal--Fpr1	0.428007066972813	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Hgf	Met	Hgf--Met	0.42403990620027	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lgals3	Itgb1	Lgals3--Itgb1	0.422992444800752	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Igf1	Igf1r	Igf1--Igf1r	0.41925610088693	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	F11r	Itgb2	F11r--Itgb2	0.414768271937348	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Sema4d	Met	Sema4d--Met	0.412580416481202	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Igf1	Rack1	Igf1--Rack1	0.410588064107866	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Grn	Sort1	Grn--Sort1	0.409402984931382	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Anxa1	Fpr1	Anxa1--Fpr1	0.408754000874394	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lgals3	Nptn	Lgals3--Nptn	0.406424429083493	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tigit	Pvr	Tigit--Pvr	0.395609816798007	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Sell	Selplg	Sell--Selplg	0.395492390966526	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Anxa1	Fpr2	Anxa1--Fpr2	0.391803939031746	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Hgf	Cd44	Hgf--Cd44	0.391221761970786	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ltb	Itgb1	Ltb--Itgb1	0.389976799582827	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ltb	Ltbr	Ltb--Ltbr	0.387820729415788	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Sema4d	Plxnb2	Sema4d--Plxnb2	0.386682164592684	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Ptdss1	Jmjd6	Ptdss1--Jmjd6	0.385065479543006	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Osm	Il6st	Osm--Il6st	0.383913778942277	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Spn	Siglec1	Spn--Siglec1	0.383551443942646	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Manf	Sec63	Manf--Sec63	0.382685019187626	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam9	Itgb1	Adam9--Itgb1	0.37851086386797	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam17	Itgb1	Adam17--Itgb1	0.376507400378291	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Rtn4	Cd44	Rtn4--Cd44	0.374829525513485	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam15	Cdh1	Adam15--Cdh1	0.373680525524315	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Cd274	Pdcd1	Cd274--Pdcd1	0.373239884683295	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lif	Il6st	Lif--Il6st	0.371645486809714	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Il11	Il6st	Il11--Il6st	0.366542125450382	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tgfb1	Tgfbr2	Tgfb1--Tgfbr2	0.366195321834619	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Rtn4	Epha2	Rtn4--Epha2	0.365841439806811	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ccl4	Ccr1	Ccl4--Ccr1	0.361810268539999	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Clcf1	Il6st	Clcf1--Il6st	0.360303717933744	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Col18a1	Itgb1	Col18a1--Itgb1	0.358997070386342	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Vwf	Itgav	Vwf--Itgav	0.356064611858102	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Vcam1	Itgb1	Vcam1--Itgb1	0.355476103587472	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Nampt	Cul5	Nampt--Cul5	0.355118599152858	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lamb2	Rpsa	Lamb2--Rpsa	0.354559964319791	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Aimp1	Rack1	Aimp1--Rack1	0.353427208078632	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Jag1	Notch2	Jag1--Notch2	0.35334152059442	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Efna1	Epha2	Efna1--Epha2	0.349510419951064	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Efna4	Epha2	Efna4--Epha2	0.34748816950017	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Efna5	Epha2	Efna5--Epha2	0.347097968071283	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Dll1	Notch2	Dll1--Notch2	0.345491093148697	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lamb1	Itgb1	Lamb1--Itgb1	0.344304521525819	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tgfb1	Itgb1	Tgfb1--Itgb1	0.343878032358144	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Npnt	Itgb1	Npnt--Itgb1	0.342889151332253	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Dusp18	Rpsa	Dusp18--Rpsa	0.342378990518305	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam9	Itgav	Adam9--Itgav	0.34172970977423	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam12	Itgb1	Adam12--Itgb1	0.341552606255488	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Inhba	Acvr1	Inhba--Acvr1	0.340335955145403	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Col4a1	Itgb1	Col4a1--Itgb1	0.340139098569373	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Dusp18	Itgb1	Dusp18--Itgb1	0.337647707147685	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Col18a1	Gpc1	Col18a1--Gpc1	0.33337733149515	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Aimp1	Cul5	Aimp1--Cul5	0.330543042621542	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tnfsf12	Traf2	Tnfsf12--Traf2	0.329075264057446	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Nampt	Igf1r	Nampt--Igf1r	0.328932706150916	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ccl4	Ccr5	Ccl4--Ccr5	0.317261825474049	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Vcam1	Rpsa	Vcam1--Rpsa	0.317217968968674	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam17	Tnfrsf1a	Adam17--Tnfrsf1a	0.315495442505191	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Tigit	Nectin3	Tigit--Nectin3	0.313872521804181	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Inhba	Acvr2a	Inhba--Acvr2a	0.310126637224851	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Lamb2	Itgb1	Lamb2--Itgb1	0.30404495079044	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Adam12	Sdc4	Adam12--Sdc4	0.291641671871553	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Lamb1	Itgav	Lamb1--Itgav	0.287615960024672	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Vwf	Itgb5	Vwf--Itgb5	0.286727476362364	pEMT_rich_niche
pEMT_rich_niche	AMs	EMT_High	Ptdss1	Scarb1	Ptdss1--Scarb1	0.2621970681316	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Efna5	Tgfbr1	Efna5--Tgfbr1	0.259206385901212	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Efna1	Tgfbr1	Efna1--Tgfbr1	0.258841060003214	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Efna4	Tgfbr1	Efna4--Tgfbr1	0.256818809552321	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Jag1	Lrp1	Jag1--Lrp1	0.237007636245848	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Osm	Osmr	Osm--Osmr	0.234803324425868	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Il11	Il11ra1	Il11--Il11ra1	0.224814366918531	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Lif	Lifr	Lif--Lifr	0.218453048424118	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Dll1	Notch1	Dll1--Notch1	0.217290869156392	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Clcf1	Lifr	Clcf1--Lifr	0.207111279548148	pEMT_poor_niche
pEMT_rich_niche	AMs	EMT_High	Col4a1	Itga1	Col4a1--Itga1	0.184559005849543	pEMT_poor_niche
